campaign_id,course_campaign_name,campaign_agenda,campaign_category,campaign_agenda_sent,campaign_agenda_open,campaign_agenda_click,campaign_agenda_unsubscribe,digital_marketing_team,course_campaign_start_date
8077364845,email_podcasting_86,click_on_email,new_course_added,98,23,10,2,ind_vtz_digex,5/1/2022
4802222440,email_email_marketing_121,open_link,marketing,98,24,11,3,ind_stv_digex,5/1/2022
3134692627,email_copywriting_16,open_link,new_course_added,98,25,11,4,ind_stv_digex,5/5/2022
2532503475,email_email_marketing_18,click_on_email,new_course_added,99,22,15,3,ind_bdq_digex,5/4/2022
3709754291,email_podcasting_14,open_link,new_course_added,98,23,13,1,ind_vtz_digex,5/8/2022
3897419106,email_google_analytics_79,open_link,marketing,98,20,13,3,ind_ccu_digex,5/7/2022
6911279666,email_copywriting_1,open_link,marketing,98,22,11,3,ind_del_digex,5/4/2022
9281260948,email_youtube_marketing_177,register_to_course,marketing,100,22,11,3,ind_vtz_digex,5/2/2022
6998082444,email_podcasting_107,register_to_course,new_course_added,99,25,14,3,ind_bdq_digex,5/8/2022
6003891300,email_email_marketing_107,open_link,marketing,100,23,10,3,ind_vtz_digex,5/3/2022
6388132782,email_internet_marketing_87,open_link,marketing,99,21,11,4,ind_vtz_digex,5/5/2022
5617322443,email_youtube_marketing_7,open_link,marketing,100,23,15,3,ind_bdq_digex,5/4/2022
0601734068,email_podcasting_136,register_to_course,new_course_added,99,20,12,3,ind_vtz_digex,5/2/2022
4544864690,email_podcasting_109,open_link,new_course_added,98,25,12,2,ind_stv_digex,5/8/2022
7416569680,email_youtube_marketing_153,open_link,marketing,99,23,12,2,ind_bdq_digex,5/3/2022
1928584675,email_youtube_marketing_164,register_to_course,new_course_added,100,22,14,3,ind_vtz_digex,5/3/2022
1480479527,email_youtube_marketing_90,open_link,marketing,100,22,10,2,ind_vtz_digex,5/3/2022
5783567000,email_copywriting_180,register_to_course,marketing,99,23,11,3,ind_bdq_digex,5/7/2022
1867579030,email_youtube_marketing_198,open_link,marketing,98,21,12,2,ind_vtz_digex,5/4/2022
3102366597,email_podcasting_16,click_on_email,marketing,99,21,12,3,ind_vtz_digex,5/5/2022
3060504261,email_podcasting_116,register_to_course,marketing,98,23,14,3,ind_stv_digex,5/7/2022
2162878828,email_google_analytics_179,register_to_course,marketing,98,24,12,4,ind_vtz_digex,5/6/2022
6432545579,email_email_marketing_190,click_on_email,new_course_added,100,24,11,2,ind_vtz_digex,5/2/2022
9048874858,email_podcasting_126,open_link,marketing,98,23,10,2,ind_vtz_digex,5/8/2022
7241006844,email_email_marketing_95,click_on_email,marketing,98,21,11,2,ind_stv_digex,5/2/2022
7535659799,email_podcasting_110,open_link,marketing,99,25,10,4,ind_stv_digex,5/3/2022
4963013290,email_youtube_marketing_54,register_to_course,marketing,100,20,12,3,ind_vtz_digex,5/2/2022
2893032273,email_podcasting_157,open_link,marketing,100,21,15,3,ind_stv_digex,5/6/2022
8057699612,email_youtube_marketing_157,click_on_email,marketing,98,20,13,1,ind_bdq_digex,5/6/2022
4942708567,email_email_marketing_136,open_link,new_course_added,99,22,11,3,ind_vtz_digex,5/3/2022
